row_no,subject,category,legal_name,ticker,period,period_end,grain,metric_key,metric_zh,value,unit,disclosure_frequency,quality_status,verification_status,official_value,official_unit,official_source_label,official_source_url,official_evidence,verification_count,verification_method,verification_sources,verification_note
651,中国移动,carrier,China Mobile Limited,0941.HK,Q1 2024,"Mar 31, 2024",quarter,capital_expenditures,资本开支,"-34,478",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_match,-34478,millions CNY,中国移动2024年第一季度报告,https://static.cninfo.com.cn/finalpage/2024-04-23/1219737430.PDF,"合并现金流量表披露购建固定资产、无形资产和其他长期资产支付的现金34,478百万元；现金流出口径记为负数。",3,official_cash_flow_statement_row_check,"[{""label"": ""中国移动2024年第一季度报告（巨潮资讯原文）"", ""url"": ""https://static.cninfo.com.cn/finalpage/2024-04-23/1219737430.PDF"", ""evidence"": ""一季报披露营业收入、营业成本、营业利润、资产负债表和现金流量表。""}, {""label"": ""中国移动2024年第一季度报告（新浪财经正文）"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10024494&stockid=600941"", ""evidence"": ""新浪财经公告正文镜像列示同一份2024年第一季度报告，用于交叉核验表格。""}, {""label"": ""中国移动官网2024单季度经营数据"", ""url"": ""https://www.chinamobileltd.com/en/ir/operation_q.php?year=2024"", ""evidence"": ""官网直接列示2024/1Q核心经营数据，用于交叉核验营运收入、主营业务收入、EBITDA和归母利润。""}]",标准化表与官方值一致，差异 0.000。
652,中国移动,carrier,China Mobile Limited,0941.HK,Q2 2024,"Jun 30, 2024",quarter,capital_expenditures,资本开支,"-38,982",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_match,-38982,millions CNY,中国移动2024年半年度报告,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10365602&stockid=600941,"A股半年报现金流量表披露H1购建长期资产现金支出73,460百万元；扣除Q1官方34,478百万元后，Q2为38,982百万元，现金流出口径记为负数。",4,official_h1_minus_q1_cash_flow_reconciliation,"[{""label"": ""中国移动2024年半年度报告（新浪财经同文正文）"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10365602&stockid=600941"", ""evidence"": ""同文公告正文列示A股半年报完整财务表：H1营业收入546,744百万元、营业成本378,285百万元、营业利润102,506百万元、经营现金流131,377百万元、购建长期资产现金支出73,460百万元。""}, {""label"": ""中国移动2024年中期报告（中国移动官网）"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ir2024.pdf"", ""evidence"": ""公司官网中期报告披露H1核心经营和财务数据，用于交叉核验累计关系。""}, {""label"": ""中国移动2024年第一季度报告（巨潮资讯原文）"", ""url"": ""https://static.cninfo.com.cn/finalpage/2024-04-23/1219737430.PDF"", ""evidence"": ""一季报提供Q1营业收入、营业成本、营业利润、现金流和资产负债表数，用于由H1累计数拆分Q2。""}, {""label"": ""中国移动官网2024单季度经营数据"", ""url"": ""https://www.chinamobileltd.com/en/ir/operation_q.php?year=2024"", ""evidence"": ""官网直接列示2024/2Q核心经营数据，用于交叉核验Q2收入、EBITDA和归母利润。""}]",标准化表与官方值一致，差异 0.000。
653,中国移动,carrier,China Mobile Limited,0941.HK,Q3 2024,"Sep 30, 2024",quarter,capital_expenditures,资本开支,"-43,395",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_match,-43395,millions CNY,中国移动2024年第三季度报告,https://static.cninfo.com.cn/finalpage/2024-10-22/1221451112.PDF,"A股三季报现金流量表披露9M购建长期资产现金支出116,855百万元；扣除H1官方73,460百万元后，Q3为43,395百万元，现金流出口径记为负数。",4,official_9m_minus_h1_cash_flow_reconciliation,"[{""label"": ""中国移动2024年第三季度报告（巨潮资讯原文）"", ""url"": ""https://static.cninfo.com.cn/finalpage/2024-10-22/1221451112.PDF"", ""evidence"": ""三季报披露9M营业收入791,458百万元、营业成本547,590百万元、营业利润141,479百万元、经营现金流224,075百万元、购建长期资产现金支出116,855百万元。""}, {""label"": ""中国移动2024年第三季度报告（新浪财经同文正文）"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10534559&stockid=600941"", ""evidence"": ""新浪财经公告正文镜像列示同一份2024年第三季度报告，用于交叉核验表格。""}, {""label"": ""中国移动2024年半年度报告（新浪财经同文正文）"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10365602&stockid=600941"", ""evidence"": ""A股半年报完整财务表提供H1累计数，用于由9M累计数拆分Q3。""}, {""label"": ""中国移动官网2024单季度经营数据"", ""url"": ""https://www.chinamobileltd.com/en/ir/operation_q.php?year=2024"", ""evidence"": ""官网直接列示2024/3Q核心经营数据，用于交叉核验Q3收入、EBITDA和归母利润。""}]",标准化表与官方值一致，差异 0.000。
654,中国移动,carrier,China Mobile Limited,0941.HK,Q4 2024,"Dec 31, 2024",quarter,capital_expenditures,资本开支,"-39,124",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_match,-39124,millions CNY,中国移动2024年年度报告,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10795365&stockid=600941,"A股年报现金流量表披露全年购建长期资产现金支出155,979百万元；扣除9M官方116,855百万元后，Q4为39,124百万元，现金流出口径记为负数。",3,official_fy_minus_9m_cash_flow_reconciliation,"[{""label"": ""中国移动2024年年度报告（新浪财经同文正文）"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10795365&stockid=600941"", ""evidence"": ""同文公告正文列示A股年报完整财务表：全年营业收入1,040,759百万元、营业成本738,772百万元、营业利润176,284百万元、经营现金流315,741百万元、购建长期资产现金支出155,979百万元。""}, {""label"": ""中国移动2024年年度报告（中国移动官网）"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf"", ""evidence"": ""公司官网年报披露全年核心经营和财务数据，用于交叉核验全年合计。""}, {""label"": ""中国移动2024年第三季度报告（巨潮资讯原文）"", ""url"": ""https://static.cninfo.com.cn/finalpage/2024-10-22/1221451112.PDF"", ""evidence"": ""A股三季报完整财务表提供9M累计数，用于由全年数拆分Q4。""}]",标准化表与官方值一致，差异 0.000。
655,中国移动,carrier,China Mobile Limited,0941.HK,Q1 2025,"Mar 31, 2025",quarter,capital_expenditures,资本开支,"-36,382",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_match,-36382,millions CNY,中国移动2025年第一季度报告（上交所）,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-23/600941_20250423_97Z1.pdf,"合并现金流量表：购建固定资产、无形资产和其他长期资产支付的现金 -36,382 百万元。",3,official_source_row_check,"[{""label"": ""中国移动2025年第一季度报告（上交所）"", ""url"": ""https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-23/600941_20250423_97Z1.pdf"", ""evidence"": ""交易所公告原文披露主要财务数据、合并利润表、合并资产负债表和合并现金流量表。""}, {""label"": ""中国移动2025年第一季度报告（新浪财经正文）"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10931075&stockid=600941"", ""evidence"": ""新浪财经公告正文镜像列示同一份一季报表格，用于交叉核验具体行。""}, {""label"": ""中国移动2025年第一季度报告（东方财富公告索引）"", ""url"": ""https://data.eastmoney.com/notices/detail/600941/AN202504221660555817.html"", ""evidence"": ""东方财富公告页定位同一公告，并提示以交易所公告为有效信息。""}]",标准化表与官方值一致，差异 0.000。
656,中国移动,carrier,China Mobile Limited,0941.HK,Q2 2025,"Jun 30, 2025",quarter,capital_expenditures,资本开支,"-39,158",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_match,-39158,millions CNY,中国移动2025中期报告（港交所，现金流口径）,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0829/2025082901049.pdf,"中报购建固定资产等现金支出-75,540减Q1现金支出-36,382，复算Q2为-39,158百万元。该现金流口径不等同于公司管理口径的半年资本开支584亿元。",2,official_h1_minus_q1_cash_flow_reconciliation,"[{""label"": ""中国移动2025中期报告（港交所）"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0829/2025082901049.pdf"", ""evidence"": ""1H2025 cash payment for property, plant, intangibles and non-current assets RMB75,540 million.""}, {""label"": ""中国移动2025年第一季度报告（上交所）"", ""url"": ""https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-23/600941_20250423_97Z1.pdf"", ""evidence"": ""Q1 cash payment for long-term assets RMB36,382 million.""}]",标准化表与官方值一致，差异 0.000。
657,中国移动,carrier,China Mobile Limited,0941.HK,Q3 2025,"Sep 30, 2025",quarter,capital_expenditures,资本开支,"-41,575",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_match,-41575,millions CNY,中国移动2025前三季度业绩（港交所，现金流口径）,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1020/2025102001101.pdf,"前三季度购建长期资产现金支出-117,115减上半年-75,540，复算Q3为-41,575百万元。",3,official_9m_minus_h1_cash_flow_reconciliation,"[{""label"": ""中国移动2025前三季度业绩（港交所）"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1020/2025102001101.pdf"", ""evidence"": ""前三季度资产负债表和现金流量表精确值。""}, {""label"": ""中国移动官网2025前三季度业绩镜像"", ""url"": ""https://www.chinamobileltd.com/en/file/view.php?id=325924"", ""evidence"": ""公司官网发布的同期官方公告镜像。""}, {""label"": ""中国移动2025中期报告（港交所）"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0829/2025082901049.pdf"", ""evidence"": ""上半年现金流量精确累计值，用于复算Q3流量指标。""}]",标准化表与官方值一致，差异 0.000。
658,中国移动,carrier,China Mobile Limited,0941.HK,Q4 2025,"Dec 31, 2025",quarter,capital_expenditures,资本开支,"-39,836",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_match,-39836,millions CNY,中国移动2025年报（港交所，现金流口径）,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300752.pdf,"全年购建固定资产、无形资产和其他长期资产现金支出-156,951减前三季度-117,115，复算Q4为-39,836百万元。",3,official_full_year_minus_9m_cash_flow_reconciliation,"[{""label"": ""中国移动2025年报（港交所）"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300752.pdf"", ""evidence"": ""全年现金流量表。""}, {""label"": ""中国移动2025年报正文镜像（新浪财经）"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12023001&stockid=600941"", ""evidence"": ""列示经营现金流232,919、购建长期资产现金支出156,951、年末现金及现金等价物97,267百万元。""}, {""label"": ""中国移动2025前三季度业绩（港交所）"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1020/2025102001101.pdf"", ""evidence"": ""前三季度现金流累计值，用于复算Q4流量指标。""}]",标准化表与官方值一致，差异 0.000。
659,中国移动,carrier,China Mobile Limited,0941.HK,Q1 2026,"Mar 31, 2026",quarter,capital_expenditures,资本开支,"-30,399",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_match,-30399,millions CNY,中国移动2026年第一季度报告,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF,"合并现金流量表：购建固定资产、无形资产和其他长期资产支付的现金 -30,399 百万元。",4,official_source_row_check,"[{""label"": ""中国移动2026年第一季度报告"", ""url"": ""https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF"", ""evidence"": ""合并现金流量表：购建固定资产、无形资产和其他长期资产支付的现金 -30,399 百万元。""}, {""label"": ""中国移动2026年第一季度报告（巨潮资讯原文）"", ""url"": ""https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/c34d1cf7b4794bebb3f39acf8b598c4b.PDF"", ""evidence"": ""一季报披露主要财务指标、资产负债表、利润表和现金流量表。""}, {""label"": ""中国移动2026年第一季度报告（新浪财经正文）"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12123807&stockid=600941"", ""evidence"": ""新浪财经公告正文镜像列示同一份2026年第一季度报告，用于交叉核验表格。""}, {""label"": ""星岛头条中国移动首季业绩报道"", ""url"": ""https://www.stheadline.com/stock-market/3564051/%E4%B8%AD%E5%9C%8B%E7%A7%BB%E5%8B%95%E9%A6%96%E5%AD%A3EBITDA%E8%B7%8C5-%E9%9B%B2%E8%A8%88%E7%AE%97%E7%AD%89%E5%85%B6%E4%BB%96%E6%A5%AD%E5%8B%99%E6%94%B6%E5%85%A5%E5%A2%9E127"", ""evidence"": ""报道摘录营运收入、主营业务收入、EBITDA、净利润、资本开支和期末现金及现金等价物。""}]",标准化表与官方值一致，差异 0.000。
660,中国移动,carrier,China Mobile Limited,0941.HK,Q1 2023,"Mar 31, 2023",quarter,cash_and_equivalents,现金及等价物,"225,812",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_conflict,193648,millions CNY,中国移动2023年第一季度报告,https://static.cninfo.com.cn/finalpage/2023-04-21/1216490015.PDF,"合并现金流量表披露期末现金及现金等价物余额193,648百万元；该口径不同于资产负债表货币资金225,812百万元。",3,official_cash_flow_statement_cash_equivalents_check,"[{""label"": ""中国移动2023年第一季度报告（巨潮资讯原文）"", ""url"": ""https://static.cninfo.com.cn/finalpage/2023-04-21/1216490015.PDF"", ""evidence"": ""一季报披露营业收入250,746百万元、营业成本189,417百万元、营业利润36,141百万元、资产负债表和现金流量表。""}, {""label"": ""中国移动2023年第一季度报告（巨潮资讯公告页）"", ""url"": ""https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600941&announcementId=1216490015&orgId=gshk0000941&announcementTime=2023-04-21"", ""evidence"": ""巨潮资讯公告详情页对应同一份2023年第一季度报告，用于核对公告编号和发布日期。""}, {""label"": ""中国移动官网2023单季度经营数据"", ""url"": ""https://www.chinamobileltd.com/en/ir/operation_q.php?year=2023"", ""evidence"": ""官网直接列示2023/1Q经营收入2,507亿元、主营业务收入2,093亿元、EBITDA 799亿元、归母利润281亿元，用于交叉核验核心单季口径。""}]",标准化表 225812 与官方值 193648 不一致，差异 32164.000；正式回答应采用官方值并说明口径冲突。
661,中国移动,carrier,China Mobile Limited,0941.HK,Q2 2023,"Jun 30, 2023",quarter,cash_and_equivalents,现金及等价物,"227,983",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_conflict,204928,millions CNY,中国移动2023年半年度报告,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=9397960&stockid=600941,"A股半年报现金流量表披露2023年6月30日期末现金及现金等价物余额204,928百万元；该口径不同于资产负债表货币资金227,983百万元。",4,official_cash_flow_statement_cash_equivalents_check,"[{""label"": ""中国移动2023年半年度报告（新浪财经同文正文）"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=9397960&stockid=600941"", ""evidence"": ""同文公告正文列示A股半年报完整财务表：H1营业收入530,719百万元、营业成本377,807百万元、营业利润98,000百万元、经营现金流160,525百万元、购建长期资产现金支出79,646百万元。""}, {""label"": ""中国移动2023年半年度报告摘要（巨潮资讯原文）"", ""url"": ""https://static.cninfo.com.cn/finalpage/2023-08-11/1217509878.PDF"", ""evidence"": ""巨潮摘要对应同一半年度报告，披露H1关键经营、资产和利润指标，并指向上交所、港交所及公司官网全文。""}, {""label"": ""中国移动2023年第一季度报告（巨潮资讯原文）"", ""url"": ""https://static.cninfo.com.cn/finalpage/2023-04-21/1216490015.PDF"", ""evidence"": ""一季报提供Q1营业收入、营业成本、营业利润、现金流和资产负债表数，用于由H1累计数拆分Q2。""}, {""label"": ""中国移动官网2023单季度经营数据"", ""url"": ""https://www.chinamobileltd.com/en/ir/operation_q.php?year=2023"", ""evidence"": ""官网直接列示2023/2Q核心经营数据，用于交叉核验Q2收入、EBITDA和归母利润。""}]",标准化表 227983 与官方值 204928 不一致，差异 23055.000；正式回答应采用官方值并说明口径冲突。
662,中国移动,carrier,China Mobile Limited,0941.HK,Q3 2023,"Sep 30, 2023",quarter,cash_and_equivalents,现金及等价物,"225,285",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_conflict,177383,millions CNY,中国移动2023年第三季度报告,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=600941&id=9580251,"A股三季报现金流量表披露2023年9月30日期末现金及现金等价物余额177,383百万元；该口径不同于资产负债表货币资金225,285百万元。",3,official_cash_flow_statement_cash_equivalents_check,"[{""label"": ""中国移动2023年第三季度报告（新浪财经同文正文）"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=600941&id=9580251"", ""evidence"": ""同文公告正文列示A股三季报完整财务表：9M营业收入775,560百万元、营业成本552,607百万元、营业利润136,912百万元、经营现金流237,678百万元、购建长期资产现金支出120,936百万元。""}, {""label"": ""中国移动2023年半年度报告（新浪财经同文正文）"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=9397960&stockid=600941"", ""evidence"": ""A股半年报完整财务表提供H1累计数，用于由9M累计数拆分Q3。""}, {""label"": ""中国移动官网2023单季度经营数据"", ""url"": ""https://www.chinamobileltd.com/en/ir/operation_q.php?year=2023"", ""evidence"": ""官网直接列示2023/3Q核心经营数据，用于交叉核验Q3收入、EBITDA和归母利润。""}]",标准化表 225285 与官方值 177383 不一致，差异 47902.000；正式回答应采用官方值并说明口径冲突。
663,中国移动,carrier,China Mobile Limited,0941.HK,Q4 2023,"Dec 31, 2023",quarter,cash_and_equivalents,现金及等价物,"178,772",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_conflict,141559,millions CNY,中国移动2023年年度报告,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=9887182&stockid=600941,"A股年报现金流量表披露2023年12月31日年末现金及现金等价物余额141,559百万元；该口径不同于资产负债表货币资金178,772百万元。",4,official_cash_flow_statement_cash_equivalents_check,"[{""label"": ""中国移动2023年年度报告（新浪财经同文正文）"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=9887182&stockid=600941"", ""evidence"": ""同文公告正文列示A股年报完整财务表：全年营业收入1,009,309百万元、营业成本724,358百万元、营业利润168,117百万元、经营现金流303,780百万元、购建长期资产现金支出181,263百万元。""}, {""label"": ""中国移动2023年年度报告（中国移动官网）"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2023.pdf"", ""evidence"": ""公司官网年报披露全年核心经营和财务数据，用于交叉核验全年合计。""}, {""label"": ""中国移动2023年年度报告（上交所公告摘要）"", ""url"": ""https://www.sse.com.cn/disclosure/listedinfo/summaries/indexDetail.shtml?SEQ=334217541"", ""evidence"": ""上交所公告摘要确认600941于2024-03-22披露中国移动2023年年度报告。""}, {""label"": ""中国移动2023年第三季度报告（新浪财经同文正文）"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=600941&id=9580251"", ""evidence"": ""A股三季报完整财务表提供9M累计数，用于由全年数拆分Q4。""}]",标准化表 178772 与官方值 141559 不一致，差异 37213.000；正式回答应采用官方值并说明口径冲突。
664,中国移动,carrier,China Mobile Limited,0941.HK,Q1 2024,"Mar 31, 2024",quarter,cash_and_equivalents,现金及等价物,"199,813",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_conflict,166026,millions CNY,中国移动2024年第一季度报告,https://static.cninfo.com.cn/finalpage/2024-04-23/1219737430.PDF,"合并现金流量表披露期末现金及现金等价物余额166,026百万元；该口径不同于资产负债表货币资金199,813百万元。",3,official_cash_flow_statement_cash_equivalents_check,"[{""label"": ""中国移动2024年第一季度报告（巨潮资讯原文）"", ""url"": ""https://static.cninfo.com.cn/finalpage/2024-04-23/1219737430.PDF"", ""evidence"": ""一季报披露营业收入、营业成本、营业利润、资产负债表和现金流量表。""}, {""label"": ""中国移动2024年第一季度报告（新浪财经正文）"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10024494&stockid=600941"", ""evidence"": ""新浪财经公告正文镜像列示同一份2024年第一季度报告，用于交叉核验表格。""}, {""label"": ""中国移动官网2024单季度经营数据"", ""url"": ""https://www.chinamobileltd.com/en/ir/operation_q.php?year=2024"", ""evidence"": ""官网直接列示2024/1Q核心经营数据，用于交叉核验营运收入、主营业务收入、EBITDA和归母利润。""}]",标准化表 199813 与官方值 166026 不一致，差异 33787.000；正式回答应采用官方值并说明口径冲突。
665,中国移动,carrier,China Mobile Limited,0941.HK,Q2 2024,"Jun 30, 2024",quarter,cash_and_equivalents,现金及等价物,"172,891",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_conflict,132073,millions CNY,中国移动2024年半年度报告,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10365602&stockid=600941,"A股半年报现金流量表披露2024年6月30日期末现金及现金等价物余额132,073百万元；该口径不同于资产负债表货币资金172,891百万元。",4,official_cash_flow_statement_cash_equivalents_check,"[{""label"": ""中国移动2024年半年度报告（新浪财经同文正文）"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10365602&stockid=600941"", ""evidence"": ""同文公告正文列示A股半年报完整财务表：H1营业收入546,744百万元、营业成本378,285百万元、营业利润102,506百万元、经营现金流131,377百万元、购建长期资产现金支出73,460百万元。""}, {""label"": ""中国移动2024年中期报告（中国移动官网）"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ir2024.pdf"", ""evidence"": ""公司官网中期报告披露H1核心经营和财务数据，用于交叉核验累计关系。""}, {""label"": ""中国移动2024年第一季度报告（巨潮资讯原文）"", ""url"": ""https://static.cninfo.com.cn/finalpage/2024-04-23/1219737430.PDF"", ""evidence"": ""一季报提供Q1营业收入、营业成本、营业利润、现金流和资产负债表数，用于由H1累计数拆分Q2。""}, {""label"": ""中国移动官网2024单季度经营数据"", ""url"": ""https://www.chinamobileltd.com/en/ir/operation_q.php?year=2024"", ""evidence"": ""官网直接列示2024/2Q核心经营数据，用于交叉核验Q2收入、EBITDA和归母利润。""}]",标准化表 172891 与官方值 132073 不一致，差异 40818.000；正式回答应采用官方值并说明口径冲突。
666,中国移动,carrier,China Mobile Limited,0941.HK,Q3 2024,"Sep 30, 2024",quarter,cash_and_equivalents,现金及等价物,"168,281",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_conflict,121279,millions CNY,中国移动2024年第三季度报告,https://static.cninfo.com.cn/finalpage/2024-10-22/1221451112.PDF,"A股三季报现金流量表披露2024年9月30日期末现金及现金等价物余额121,279百万元；该口径不同于资产负债表货币资金168,281百万元。",4,official_cash_flow_statement_cash_equivalents_check,"[{""label"": ""中国移动2024年第三季度报告（巨潮资讯原文）"", ""url"": ""https://static.cninfo.com.cn/finalpage/2024-10-22/1221451112.PDF"", ""evidence"": ""三季报披露9M营业收入791,458百万元、营业成本547,590百万元、营业利润141,479百万元、经营现金流224,075百万元、购建长期资产现金支出116,855百万元。""}, {""label"": ""中国移动2024年第三季度报告（新浪财经同文正文）"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10534559&stockid=600941"", ""evidence"": ""新浪财经公告正文镜像列示同一份2024年第三季度报告，用于交叉核验表格。""}, {""label"": ""中国移动2024年半年度报告（新浪财经同文正文）"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10365602&stockid=600941"", ""evidence"": ""A股半年报完整财务表提供H1累计数，用于由9M累计数拆分Q3。""}, {""label"": ""中国移动官网2024单季度经营数据"", ""url"": ""https://www.chinamobileltd.com/en/ir/operation_q.php?year=2024"", ""evidence"": ""官网直接列示2024/3Q核心经营数据，用于交叉核验Q3收入、EBITDA和归母利润。""}]",标准化表 168281 与官方值 121279 不一致，差异 47002.000；正式回答应采用官方值并说明口径冲突。
667,中国移动,carrier,China Mobile Limited,0941.HK,Q4 2024,"Dec 31, 2024",quarter,cash_and_equivalents,现金及等价物,"242,275",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_conflict,167309,millions CNY,中国移动2024年年度报告,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10795365&stockid=600941,"A股年报现金流量表披露2024年12月31日年末现金及现金等价物余额167,309百万元；该口径不同于资产负债表货币资金242,275百万元。",3,official_cash_flow_statement_cash_equivalents_check,"[{""label"": ""中国移动2024年年度报告（新浪财经同文正文）"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10795365&stockid=600941"", ""evidence"": ""同文公告正文列示A股年报完整财务表：全年营业收入1,040,759百万元、营业成本738,772百万元、营业利润176,284百万元、经营现金流315,741百万元、购建长期资产现金支出155,979百万元。""}, {""label"": ""中国移动2024年年度报告（中国移动官网）"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf"", ""evidence"": ""公司官网年报披露全年核心经营和财务数据，用于交叉核验全年合计。""}, {""label"": ""中国移动2024年第三季度报告（巨潮资讯原文）"", ""url"": ""https://static.cninfo.com.cn/finalpage/2024-10-22/1221451112.PDF"", ""evidence"": ""A股三季报完整财务表提供9M累计数，用于由全年数拆分Q4。""}]",标准化表 242275 与官方值 167309 不一致，差异 74966.000；正式回答应采用官方值并说明口径冲突。
668,中国移动,carrier,China Mobile Limited,0941.HK,Q1 2025,"Mar 31, 2025",quarter,cash_and_equivalents,现金及等价物,"220,208",millions CNY,quarterly_or_standardized_quarterly,standardized_online_source_with_official_crosscheck_required,official_conflict,125078,millions CNY,中国移动2025年第一季度报告（上交所）,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-23/600941_20250423_97Z1.pdf,"合并现金流量表披露期末现金及现金等价物余额125,078百万元；该口径不同于资产负债表货币资金220,208百万元。",3,official_cash_flow_statement_cash_equivalents_check,"[{""label"": ""中国移动2025年第一季度报告（上交所）"", ""url"": ""https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-04-23/600941_20250423_97Z1.pdf"", ""evidence"": ""交易所公告原文披露主要财务数据、合并利润表、合并资产负债表和合并现金流量表。""}, {""label"": ""中国移动2025年第一季度报告（新浪财经正文）"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10931075&stockid=600941"", ""evidence"": ""新浪财经公告正文镜像列示同一份一季报表格，用于交叉核验具体行。""}, {""label"": ""中国移动2025年第一季度报告（东方财富公告索引）"", ""url"": ""https://data.eastmoney.com/notices/detail/600941/AN202504221660555817.html"", ""evidence"": ""东方财富公告页定位同一公告，并提示以交易所公告为有效信息。""}]",标准化表 220208 与官方值 125078 不一致，差异 95130.000；正式回答应采用官方值并说明口径冲突。
